Acct #,Processing Date,Balance,CR (Deposit) or DR (Withdrawal),Amount,Description 1,,,,
211111110,06/01/20,"5,000.00",,,(initial starting balance),,,,
211111110,06/03/20,"4,998.00",DR,$2.00,Starbucks, ,,,
211111110,06/03/20,"5,798.00",CR,$800.00,Payroll,,,,
211111110,06/03/20,"5,790.00",DR,$8.00,Chipotle,,,,
211111110,06/04/20,"5,780.00",DR,$10.00,ATM,,,,
211111110,06/05/20,"5,748.00",DR,$32.00,Hoolihans,,,,
211111110,06/05/20,"5,648.00",DR,$100.00,KCPL,,,,
211111110,06/09/20,"5,458.00",DR,$190.00,Google Fiber,,,,
211111110,06/11/20,"5,448.01",DR,$9.99,Netflix,,,,
211111110,06/11/20,"5,098.01",DR,$350.00,Rent,,,,
211111110,06/15/20,"5,096.01",DR,$2.00,Starbucks,,,,
211111110,06/22/20,"5,846.01",CR,$750.00,Payroll,,,,
211111110,06/25/20,"5,226.01",DR,$620.00,Commerce Bank Credit Card payment,,,,
211111110,06/28/20,"5,076.01",DR,$150.00,McFaddens,,,,
211111110,06/28/20,"4,976.01",DR,$100.00,Price Chopper,,,,
211111110,06/29/20,"5,026.01",CR,$50.00,Check from friend,,,,
211111110,07/01/20,"5,826.01",CR,$800.00,Payroll,,,,
211111110,07/01/20,"5,817.01",DR,$9.00,Hyvee,,,,
211111110,07/01/20,"5,803.01",DR,$14.00,McFaddens,,,,
211111110,07/01/20,"5,771.01",DR,$32.00,Target,,,,
211111110,07/01/20,"5,671.01",DR,$100.00,KCPL,,,,
211111110,07/02/20,"6,421.01",CR,$750.00,Payroll,,,,
211111110,07/03/20,"6,231.01",DR,$190.00,Google Fiber,,,,
211111110,07/03/20,"6,221.02",DR,$9.99,Netflix,,,,
211111110,07/03/20,"5,871.02",DR,$350.00,Rent,,,,
211111110,07/03/20,"5,864.52",DR,$6.50,Neo's,,,,
211111110,07/05/20,"5,634.52",DR,$230.00,Commerce Bank Credit Card payment,,,,
211111110,07/06/20,"5,534.52",DR,$100.00,Best Buy,,,, 
211111110,07/07/20,"5,234.52",DR,$300.00,Pottery Barn,,,,
211111110,07/07/20,"5,211.52",DR,$23.00,The Loft,,,,
211111110,07/07/20,"5,166.52",DR,$45.00,Dave and Busters,,,,
211111110,07/08/20,"5,131.52",DR,$35.00,Bowling,,,,
211111110,07/15/20,"5,931.52",CR,$800.00,Payroll,,,,
211111110,07/20/20,"5,721.52",DR,$210.00,McFaddens,,,,
211111110,07/25/20,"5,703.52",DR,$18.00,Taco Bell,,,,
211111110,07/31/20,"5,658.52",DR,$45.00,QuikTrip,,,,
211111110,08/01/20,"5,528.52",DR,$130.00,KCPL,,,,
211111110,08/01/20,"5,343.52",DR,$185.00,Google Fiber,,,,
211111110,08/02/20,"5,335.53",DR,$7.99,Netflix,,,,
211111110,08/05/20,"5,279.53",DR,$56.00,Price Chopper,,,,
211111110,08/06/20,"5,236.53",DR,$43.00,Price Chopper,,,,
211111110,08/10/20,"5,138.53",DR,$98.00,Target,,,,
211111110,08/10/20,"5,125.53",DR,$13.00,Jose Peppers,,,,
211111110,08/12/20,"5,116.53",DR,$9.00,Starbucks,,,,
211111110,08/13/20,"4,766.53",DR,$350.00,Rent,,,,
211111110,08/14/20,"4,763.03",DR,$3.50,Redbox,,,,
211111110,08/15/20,"4,462.03",DR,$301.00,Bank of America Credit Card payment,,,,
211111110,08/16/20,"5,192.03",CR,$730.00,Payroll,,,,
211111110,08/16/20,"4,959.35",DR,$232.68,Target,,,,
211111110,08/16/20,"4,940.85",DR,$18.50,Best Buy,,,,
211111110,08/16/20,"4,820.85",DR,$120.00,Nationwide,,,,
211111110,08/17/20,"4,770.85",DR,$50.00,KC Police - Speeding Ticket,,,,
211111110,08/18/20,"4,720.85",DR,$50.00,Uber,,,,
211111110,08/18/20,"4,711.65",DR,$9.20,Manny's,,,,
211111110,08/19/20,"4,686.90",DR,$24.75,Toys R Us,,,,
211111110,08/19/20,"4,683.40",DR,$3.50,Scooters,,,,
211111110,08/20/20,"4,647.40",DR,$36.00,QuikTrip,,,,
211111110,08/20/20,"4,615.40",DR,$32.00,Price Chopper,,,,
211111110,08/20/20,"4,567.28",DR,$48.12,Home Depot,,,,
211111110,08/21/20,"4,563.08",DR,$4.20,Burger King,,,,
211111110,08/22/20,"4,518.08",DR,$45.00,Jiffy Lube,,,,
211111110,08/23/20,"4,493.08",DR,$25.00,Doctor visit,,,,
211111110,08/23/20,"4,457.08",DR,$36.00,CVS,,,,
211111110,08/23/20,"4,428.08",DR,$29.00,Price Chopper,,,,
211111110,08/23/20,"4,228.08",DR,$200.00,Transfer to Savings,,,,
211111110,08/24/20,"4,378.08",CR,$150.00,Christmas Check from Grandma,,,,
211111110,08/25/20,"4,128.08",DR,$250.00,Student loans,,,,
211111110,08/25/20,"4,053.08",DR,$75.00,Ford Service,,,,
211111110,08/26/20,"4,017.08",DR,$36.00,Hallmark,,,,
211111110,08/27/20,"3,995.08",DR,$22.00,CVS,,,,
211111110,08/28/20,"4,805.08",CR,$810.00,Payroll,,,,
211111110,08/29/20,"4,625.08",DR,$180.00,Pottery Barn, , ,,
211111110,08/30/20,"4,579.08",DR,$46.00,Cheesecake Factory,,,,
211111110,08/30/20,"4,571.08",DR,$8.00,Starbucks,,,,
,,,,,,,,,
